QuestionId,WholeAssignment,ConstructName,SubjectName,QuestionText,CorrectAnswer,ConstructId,SubjectId,Answer,Answer_value,Misconception,MisconceptionId
1,"Simplify an algebraic fraction by factorising the numerator. Simplifying Algebraic Fractions. Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",D,1612,1077,AnswerAText,\( m+1 \),MisconceptionAId,2142.0
2,"Calculate the range from a list of data. Range and Interquartile Range from a List of Data. Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Calculate the range from a list of data,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",B,2774,339,AnswerAText,"Only
Tom",MisconceptionAId,1287.0
3,Recall and use the intersecting diagonals properties of a rectangle. Properties of Quadrilaterals. The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),C,2377,88,AnswerAText,acute,MisconceptionAId,1180.0
5,"Identify a unit of area. Area of Simple Shapes. James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",D,2052,75,AnswerAText,\( m \),MisconceptionAId,686.0
6,"Convert two digit integer percentages to fractions. Converting between Fractions and Percentages. Convert this percentage to a fraction
\( 62 \% \)",Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",B,376,238,AnswerAText,\( \frac{62}{10} \),MisconceptionAId,329.0
9,"Identify horizontal translations in the form f(x) = for non-trigonometric functions. Transformations of functions in the form f(x). What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",C,1321,164,AnswerAText,"Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",MisconceptionAId,1889.0
11,Identify the net of a non-prism. Nets. This is the net of a... ![A circle touching a sector](),Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),D,2456,85,AnswerAText,Triangle,MisconceptionAId,690.0
14,"Select the correct answer to an iteration question to the required degree of accuracy. Trial and Improvement and Iterative Methods. \(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",D,1505,69,AnswerAText,\( 4.78 \),MisconceptionAId,1775.0
16,"Divide a quantity into two parts for a given a ratio, where each part is an integer. Sharing in a Ratio. In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",D,695,241,AnswerAText,\( 16 \mathrm{~m} \),MisconceptionAId,2378.0
17,Prove statements involving odd and even numbers. Ordering Negative Numbers. Which of these shows part of the proof that the sum of two odd numbers is even?,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,D,1289,210,AnswerAText,\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),MisconceptionAId,616.0
